"","Code-3","Country","Code-2","Sport","Games","G","S","B","Year"
"328","ITA","Italy","IT","Figure Skating","Salt Lake City 2002",0,0,1,2002
"329","ITA","Italy","IT","Luge","Salt Lake City 2002",1,0,0,2002
"330","ITA","Italy","IT","Short Track Speed Skating","Salt Lake City 2002",0,1,0,2002
"331","ITA","Italy","IT","Snowboard","Salt Lake City 2002",0,0,1,2002
"332","JPN","Japan","JP","Freestyle Skiing","Salt Lake City 2002",0,0,1,2002
"333","JPN","Japan","JP","Speed Skating","Salt Lake City 2002",0,1,0,2002
"334","KOR","Korea","KR","Short Track Speed Skating","Salt Lake City 2002",2,2,0,2002
"335","NED","Netherlands","NL","Speed Skating","Salt Lake City 2002",3,5,0,2002
"336","NOR","Norway","NO","Alpine Skiing","Salt Lake City 2002",1,1,1,2002
"337","NOR","Norway","NO","Biathlon","Salt Lake City 2002",4,1,0,2002
"338","NOR","Norway","NO","Cross-Country Skiing","Salt Lake City 2002",3,2,1,2002
"339","NOR","Norway","NO","Curling","Salt Lake City 2002",1,0,0,2002
"340","NOR","Norway","NO","Freestyle Skiing","Salt Lake City 2002",1,0,0,2002
"341","NOR","Norway","NO","Speed Skating","Salt Lake City 2002",0,0,2,2002
"342","POL","Poland","PL","Ski Jumping","Salt Lake City 2002",0,1,1,2002
"343","RUS","Russia","RU","Biathlon","Salt Lake City 2002",1,0,1,2002
"344","RUS","Russia","RU","Cross-Country Skiing","Salt Lake City 2002",1,1,0,2002
"345","RUS","Russia","RU","Figure Skating","Salt Lake City 2002",2,3,0,2002
"346","RUS","Russia","RU","Ice Hockey","Salt Lake City 2002",0,0,1,2002
"347","SLO","Slovania","SI","Ski Jumping","Salt Lake City 2002",0,0,1,2002
"348","SUI","Switzerland","CH","Alpine Skiing","Salt Lake City 2002",0,0,1,2002
"349","SUI","Switzerland","CH","Bobsleigh","Salt Lake City 2002",0,1,1,2002
"350","SUI","Switzerland","CH","Cross-Country Skiing","Salt Lake City 2002",0,0,1,2002
